,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Arthur Smith,17,7,10,0,0.412,N/A,N/A,N/A,N/A,Dave Ragone,Dean Pees
1,2020.0,Raheem Morris,11,4,7,0,0.364,N/A,N/A,N/A,N/A,Dirk Koetter,Jeff Ulbrich
2,N/A,Dan Quinn,5,0,5,0,0.0,N/A,N/A,N/A,N/A,Dirk Koetter,"Raheem Morris, Jeff Ulbrich"
3,2019.0,Dan Quinn,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Dirk Koetter,N/A
4,2018.0,Dan Quinn,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Steve Sarkisian,Marquand Manuel
5,2017.0,Dan Quinn,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Steve Sarkisian,Marquand Manuel
6,2016.0,Dan Quinn,16,11,5,0,0.688,3.0,2.0,1.0,Lost SB,Kyle Shanahan,Richard Smith
7,2015.0,Dan Quinn,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Kyle Shanahan,Richard Smith
8,2014.0,Mike Smith,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Dirk Koetter,Mike Nolan
9,2013.0,Mike Smith,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Dirk Koetter,Mike Nolan
10,2012.0,Mike Smith,16,13,3,0,0.813,2.0,1.0,1.0,Lost Conf,Dirk Koetter,Mike Nolan
11,2011.0,Mike Smith,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Mike Mularkey,Brian VanGorder
12,2010.0,Mike Smith,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Mike Mularkey,Brian VanGorder
13,2009.0,Mike Smith,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Mike Mularkey,Brian VanGorder
14,2008.0,Mike Smith,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Mike Mularkey,Brian VanGorder
15,2007.0,Emmitt Thomas,3,1,2,0,0.333,0.0,0.0,0.0,N/A,Hue Jackson,Mike Zimmer
16,N/A,Bobby Petrino,13,3,10,0,0.231,0.0,0.0,0.0,N/A,Hue Jackson,Mike Zimmer
17,2006.0,Jim Mora,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Greg Knapp,Ed Donatell
18,2005.0,Jim Mora,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Greg Knapp,Ed Donatell
19,2004.0,Jim Mora,16,11,5,0,0.688,2.0,1.0,1.0,Lost Conf,Greg Knapp,Ed Donatell
20,2003.0,Wade Phillips,3,2,1,0,0.667,0.0,0.0,0.0,N/A,Pete Mangurian,N/A
