,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021,John Harbaugh,17,8,9,0,0.471,N/A,N/A,N/A,N/A,Greg Roman,Don Martindale
1,2020,John Harbaugh,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,Greg Roman,Don Martindale
2,2019,John Harbaugh,16,14,2,0,0.875,1.0,0.0,1.0,Lost Div,Greg Roman,Don Martindale
3,2018,John Harbaugh,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Marty Mornhinweg,Don Martindale
4,2017,John Harbaugh,16,9,7,0,0.563,N/A,N/A,N/A,N/A,Marty Mornhinweg,Dean Pees
5,2016,John Harbaugh,16,8,8,0,0.5,N/A,N/A,N/A,N/A,"Marty Mornhinweg, Marc Trestman",Dean Pees
6,2015,John Harbaugh,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Marc Trestman,Dean Pees
7,2014,John Harbaugh,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Gary Kubiak,Dean Pees
8,2013,John Harbaugh,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Jim Caldwell,Dean Pees
9,2012,John Harbaugh,16,10,6,0,0.625,4.0,4.0,0.0,Won SB,"Jim Caldwell, Cam Cameron",Dean Pees
10,2011,John Harbaugh,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Cam Cameron,Chuck Pagano
11,2010,John Harbaugh,16,12,4,0,0.75,2.0,1.0,1.0,Lost Div,Cam Cameron,Greg Mattison
12,2009,John Harbaugh,16,9,7,0,0.563,2.0,1.0,1.0,Lost Div,Cam Cameron,Greg Mattison
13,2008,John Harbaugh,16,11,5,0,0.688,3.0,2.0,1.0,Lost Conf,Cam Cameron,Rex Ryan
14,2007,Brian Billick,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Rick Neuheisel,Rex Ryan
15,2006,Brian Billick,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Jim Fassel,Rex Ryan
16,2005,Brian Billick,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Jim Fassel,Rex Ryan
17,2004,Brian Billick,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Matt Cavanaugh,Mike Nolan
18,2003,Brian Billick,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Matt Cavanaugh,Mike Nolan
19,2002,Brian Billick,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Matt Cavanaugh,Mike Nolan
20,2001,Brian Billick,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Matt Cavanaugh,Marvin Lewis
21,2000,Brian Billick,16,12,4,0,0.75,4.0,4.0,0.0,Won SB,Matt Cavanaugh,Marvin Lewis
22,1999,Brian Billick,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Matt Cavanaugh,Marvin Lewis
23,1998,Ted Marchibroda,16,6,10,0,0.375,0.0,0.0,0.0,N/A,N/A,Marvin Lewis
24,1997,Ted Marchibroda,16,6,9,1,0.406,0.0,0.0,0.0,N/A,N/A,Marvin Lewis
25,1996,Ted Marchibroda,16,4,12,0,0.25,0.0,0.0,0.0,N/A,N/A,Marvin Lewis
