,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Matt Nagy,17,6,11,0,0.353,N/A,N/A,N/A,N/A,Bill Lazor,Sean Desai
1,2020.0,Matt Nagy,16,8,8,0,0.5,1.0,0.0,1.0,Lost WC,Bill Lazor,Chuck Pagano
2,2019.0,Matt Nagy,16,8,8,0,0.5,N/A,N/A,N/A,N/A,Mark Helfrich,Chuck Pagano
3,2018.0,Matt Nagy,16,12,4,0,0.75,1.0,0.0,1.0,Lost WC,Mark Helfrich,Vic Fangio
4,2017.0,John Fox,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Dowell Loggains,Vic Fangio
5,2016.0,John Fox,16,3,13,0,0.188,N/A,N/A,N/A,N/A,Dowell Loggains,Vic Fangio
6,2015.0,John Fox,16,6,10,0,0.375,N/A,N/A,N/A,N/A,Adam Gase,Vic Fangio
7,2014.0,Marc Trestman,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Aaron Kromer,Mel Tucker
8,2013.0,Marc Trestman,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Aaron Kromer,Mel Tucker
9,2012.0,Lovie Smith,16,10,6,0,0.625,0.0,0.0,0.0,N/A,Mike Tice,Rod Marinelli
10,2011.0,Lovie Smith,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Mike Martz,Rod Marinelli
11,2010.0,Lovie Smith,16,11,5,0,0.688,2.0,1.0,1.0,Lost Conf,Mike Martz,Rod Marinelli
12,2009.0,Lovie Smith,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Ron Turner,Bob Babich
13,2008.0,Lovie Smith,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Ron Turner,Bob Babich
14,2007.0,Lovie Smith,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Ron Turner,Bob Babich
15,2006.0,Lovie Smith,16,13,3,0,0.813,3.0,2.0,1.0,Lost SB,Ron Turner,Ron Rivera
16,2005.0,Lovie Smith,16,11,5,0,0.688,1.0,0.0,1.0,Lost Div,Ron Turner,Ron Rivera
17,2004.0,Lovie Smith,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Terry Shea,Ron Rivera
18,2003.0,Dick Jauron,16,7,9,0,0.438,0.0,0.0,0.0,N/A,John Shoop,Greg Blache
19,2002.0,Dick Jauron,16,4,12,0,0.25,0.0,0.0,0.0,N/A,John Shoop,Greg Blache
20,2001.0,Dick Jauron,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,John Shoop,Greg Blache
21,2000.0,Dick Jauron,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Gary Crowton,Greg Blache
22,1999.0,Dick Jauron,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Gary Crowton,Greg Blache
23,1998.0,Dave Wannstedt,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Matt Cavanaugh,Bob Slowik
24,1997.0,Dave Wannstedt,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Matt Cavanaugh,Bob Slowik
25,1996.0,Dave Wannstedt,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Ron Turner,Bob Slowik
26,1995.0,Dave Wannstedt,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Ron Turner,Bob Slowik
27,1994.0,Dave Wannstedt,16,9,7,0,0.563,2.0,1.0,1.0,Lost Div,Ron Turner,Bob Slowik
28,1993.0,Dave Wannstedt,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Ron Turner,Bob Slowik
29,1992.0,Mike Ditka,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Greg Landry,Vince Tobin
30,1991.0,Mike Ditka,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Greg Landry,Vince Tobin
31,1990.0,Mike Ditka,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,Greg Landry,Vince Tobin
32,1989.0,Mike Ditka,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Greg Landry,Vince Tobin
33,1988.0,Mike Ditka,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Ed Hughes,Vince Tobin
34,1987.0,Mike Ditka,15,11,4,0,0.733,1.0,0.0,1.0,Lost Div,Ed Hughes,Vince Tobin
35,1986.0,Mike Ditka,16,14,2,0,0.875,1.0,0.0,1.0,Lost Div,Ed Hughes,Vince Tobin
36,1985.0,Mike Ditka,16,15,1,0,0.938,3.0,3.0,0.0,Won SB,Ed Hughes,Buddy Ryan
37,1984.0,Mike Ditka,16,10,6,0,0.625,2.0,1.0,1.0,Lost Conf,Ed Hughes,Buddy Ryan
38,1983.0,Mike Ditka,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Ed Hughes,Buddy Ryan
39,1982.0,Mike Ditka,9,3,6,0,0.333,0.0,0.0,0.0,N/A,Ed Hughes,Buddy Ryan
40,1981.0,Neill Armstrong,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Ted Marchibroda,Buddy Ryan
41,1980.0,Neill Armstrong,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Ken Meyer,Buddy Ryan
