,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Zac Taylor,17,10,7,0,0.588,4.0,3.0,1.0,Lost SB,Brian Callahan,Lou Anarumo
1,2020.0,Zac Taylor,16,4,11,1,0.281,N/A,N/A,N/A,N/A,Brian Callahan,Lou Anarumo
2,2019.0,Zac Taylor,16,2,14,0,0.125,N/A,N/A,N/A,N/A,Brian Callahan,Lou Anarumo
3,2018.0,Marvin Lewis,16,6,10,0,0.375,N/A,N/A,N/A,N/A,Bill Lazor,Teryl Austin
4,2017.0,Marvin Lewis,16,7,9,0,0.438,N/A,N/A,N/A,N/A,"Bill Lazor, Ken Zampese",Paul Guenther
5,2016.0,Marvin Lewis,16,6,9,1,0.406,N/A,N/A,N/A,N/A,Ken Zampese,Paul Guenther
6,2015.0,Marvin Lewis,16,12,4,0,0.75,1.0,0.0,1.0,Lost WC,Hue Jackson,Paul Guenther
7,2014.0,Marvin Lewis,16,10,5,1,0.656,1.0,0.0,1.0,Lost WC,Hue Jackson,Paul Guenther
8,2013.0,Marvin Lewis,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Jay Gruden,Mike Zimmer
9,2012.0,Marvin Lewis,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Jay Gruden,Mike Zimmer
10,2011.0,Marvin Lewis,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,Jay Gruden,Mike Zimmer
11,2010.0,Marvin Lewis,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Bob Bratkowski,Mike Zimmer
12,2009.0,Marvin Lewis,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Bob Bratkowski,Mike Zimmer
13,2008.0,Marvin Lewis,16,4,11,1,0.281,0.0,0.0,0.0,N/A,Bob Bratkowski,Mike Zimmer
14,2007.0,Marvin Lewis,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Bob Bratkowski,Chuck Bresnahan
15,2006.0,Marvin Lewis,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Bob Bratkowski,Chuck Bresnahan
16,2005.0,Marvin Lewis,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Bob Bratkowski,Chuck Bresnahan
