,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Kevin Stefanski,17,8,9,0,0.471,N/A,N/A,N/A,N/A,Alex Van Pelt,Joe Woods
1,2020.0,Kevin Stefanski,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,Alex Van Pelt,Joe Woods
2,2019.0,Freddie Kitchens,16,6,10,0,0.375,N/A,N/A,N/A,N/A,Todd Monken,Steve Wilks
3,2018.0,Gregg Williams,8,5,3,0,0.625,N/A,N/A,N/A,N/A,"Todd Haley, Freddie Kitchens",N/A
4,N/A,Hue Jackson,8,2,5,1,0.313,N/A,N/A,N/A,N/A,"Todd Haley, Freddie Kitchens",Gregg Williams
5,2017.0,Hue Jackson,16,0,16,0,0.0,N/A,N/A,N/A,N/A,N/A,Gregg Williams
6,2016.0,Hue Jackson,16,1,15,0,0.063,N/A,N/A,N/A,N/A,N/A,Ray Horton
7,2015.0,Mike Pettine,16,3,13,0,0.188,N/A,N/A,N/A,N/A,John DeFilippo,Jim O'Neil
8,2014.0,Mike Pettine,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Kyle Shanahan,Jim O'Neil
9,2013.0,Rob Chudzinski,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Norv Turner,Ray Horton
10,2012.0,Pat Shurmur,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Brad Childress,Dick Jauron
11,2011.0,Pat Shurmur,16,4,12,0,0.25,0.0,0.0,0.0,N/A,N/A,Dick Jauron
12,2010.0,Eric Mangini,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Brian Daboll,Rob Ryan
13,2009.0,Eric Mangini,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Brian Daboll,Rob Ryan
14,2008.0,Romeo Crennel,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Rob Chudzinski,Mel Tucker
15,2007.0,Romeo Crennel,16,10,6,0,0.625,0.0,0.0,0.0,N/A,Rob Chudzinski,Todd Grantham
16,2006.0,Romeo Crennel,16,4,12,0,0.25,0.0,0.0,0.0,N/A,"Maurice Carthon, Jeff Davidson",Todd Grantham
17,2005.0,Romeo Crennel,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Maurice Carthon,Todd Grantham
18,2004.0,Terry Robiskie,5,1,4,0,0.2,0.0,0.0,0.0,N/A,Rob Chudzinski,Dave Campo
19,N/A,Butch Davis,11,3,8,0,0.273,0.0,0.0,0.0,N/A,"Rob Chudzinski, Terry Robiskie",Dave Campo
20,2003.0,Butch Davis,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Bruce Arians,Dave Campo
21,2002.0,Butch Davis,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,Bruce Arians,Foge Fazio
22,2001.0,Butch Davis,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Bruce Arians,Foge Fazio
23,2000.0,Chris Palmer,16,3,13,0,0.188,0.0,0.0,0.0,N/A,Pete Carmichael,Romeo Crennel
24,1999.0,Chris Palmer,16,2,14,0,0.125,0.0,0.0,0.0,N/A,N/A,Bob Slowik
25,1995.0,Bill Belichick,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Steve Crosby,Rick Venturi
26,1994.0,Bill Belichick,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,Steve Crosby,Nick Saban
27,1993.0,Bill Belichick,16,7,9,0,0.438,0.0,0.0,0.0,N/A,N/A,Nick Saban
28,1992.0,Bill Belichick,16,7,9,0,0.438,0.0,0.0,0.0,N/A,N/A,Nick Saban
29,1991.0,Bill Belichick,16,6,10,0,0.375,0.0,0.0,0.0,N/A,N/A,Nick Saban
30,1990.0,Jim Shofner,7,1,6,0,0.143,0.0,0.0,0.0,N/A,N/A,Jim Vechiarella
31,N/A,Bud Carson,9,2,7,0,0.222,0.0,0.0,0.0,N/A,Jim Shofner,Jim Vechiarella
32,1989.0,Bud Carson,16,9,6,1,0.594,2.0,1.0,1.0,Lost Conf,Marc Trestman,Dan Radakovich
33,1988.0,Marty Schottenheimer,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,N/A,Dave Adolph
34,1987.0,Marty Schottenheimer,15,10,5,0,0.667,2.0,1.0,1.0,Lost Conf,Lindy Infante,Dave Adolph
35,1986.0,Marty Schottenheimer,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Lindy Infante,Dave Adolph
36,1985.0,Marty Schottenheimer,16,8,8,0,0.5,1.0,0.0,1.0,Lost Div,Joe Pendry,Tom Bettis
37,1984.0,Sam Rutigliano,8,1,7,0,0.125,0.0,0.0,0.0,N/A,Joe Scannella,Marty Schottenheimer
38,N/A,Marty Schottenheimer,8,4,4,0,0.5,0.0,0.0,0.0,N/A,Joe Scannella,N/A
39,1983.0,Sam Rutigliano,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Larrye Weaver,Marty Schottenheimer
40,1982.0,Sam Rutigliano,9,4,5,0,0.444,1.0,0.0,1.0,Lost WC,N/A,Marty Schottenheimer
41,1981.0,Sam Rutigliano,16,5,11,0,0.313,0.0,0.0,0.0,N/A,N/A,Marty Schottenheimer
42,1980.0,Sam Rutigliano,16,11,5,0,0.688,1.0,0.0,1.0,Lost Div,N/A,Marty Schottenheimer
43,1979.0,Sam Rutigliano,16,9,7,0,0.563,0.0,0.0,0.0,N/A,N/A,N/A
44,1978.0,Sam Rutigliano,16,8,8,0,0.5,0.0,0.0,0.0,N/A,N/A,N/A
45,1977.0,Dick Modzelewski,1,0,1,0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
46,N/A,Forrest Gregg,13,6,7,0,0.462,0.0,0.0,0.0,N/A,N/A,Dick Modzelewski
47,1976.0,Forrest Gregg,14,9,5,0,0.643,0.0,0.0,0.0,N/A,N/A,Dick Modzelewski
48,1975.0,Forrest Gregg,14,3,11,0,0.214,0.0,0.0,0.0,N/A,N/A,Richie McCabe
49,1974.0,Nick Skorich,14,4,10,0,0.286,0.0,0.0,0.0,N/A,Dick Wood,Richie McCabe
50,1973.0,Nick Skorich,14,7,5,2,0.571,0.0,0.0,0.0,N/A,N/A,Howard Brinker
51,1972.0,Nick Skorich,14,10,4,0,0.714,1.0,0.0,1.0,Lost Div,Ray Prochaska,Howard Brinker
52,1971.0,Nick Skorich,14,9,5,0,0.643,1.0,0.0,1.0,Lost Div,Ray Prochaska,Howard Brinker
53,1970.0,Blanton Collier,14,7,7,0,0.5,0.0,0.0,0.0,N/A,Nick Skorich,Howard Brinker
54,1969.0,Blanton Collier,14,10,3,1,0.769,2.0,1.0,1.0,Lost Conf,Nick Skorich,Howard Brinker
55,1968.0,Blanton Collier,14,10,4,0,0.714,2.0,1.0,1.0,Lost Conf,Nick Skorich,Howard Brinker
56,1967.0,Blanton Collier,14,9,5,0,0.643,1.0,0.0,1.0,Lost Div,N/A,Howard Brinker
57,1966.0,Blanton Collier,14,9,5,0,0.643,0.0,0.0,0.0,N/A,N/A,Howard Brinker
58,1965.0,Blanton Collier,14,11,3,0,0.786,1.0,0.0,1.0,Lost Champ,N/A,Howard Brinker
59,1964.0,Blanton Collier,14,10,3,1,0.769,1.0,1.0,0.0,Won Champ,N/A,Howard Brinker
60,1963.0,Blanton Collier,14,10,4,0,0.714,0.0,0.0,0.0,N/A,N/A,N/A
61,1962.0,Paul Brown,14,7,6,1,0.538,0.0,0.0,0.0,N/A,N/A,N/A
