,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Mike McCarthy,17,12,5,0,0.706,1.0,0.0,1.0,Lost WC,Kellen Moore,Dan Quinn
1,2020.0,Mike McCarthy,16,6,10,0,0.375,N/A,N/A,N/A,N/A,Kellen Moore,Mike Nolan
2,2019.0,Jason Garrett,16,8,8,0,0.5,N/A,N/A,N/A,N/A,Kellen Moore,Rod Marinelli
3,2018.0,Jason Garrett,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Scott Linehan,Rod Marinelli
4,2017.0,Jason Garrett,16,9,7,0,0.563,N/A,N/A,N/A,N/A,Scott Linehan,Rod Marinelli
5,2016.0,Jason Garrett,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Scott Linehan,Rod Marinelli
6,2015.0,Jason Garrett,16,4,12,0,0.25,N/A,N/A,N/A,N/A,Scott Linehan,Rod Marinelli
7,2014.0,Jason Garrett,16,12,4,0,0.75,2.0,1.0,1.0,Lost Div,Bill Callahan,Rod Marinelli
8,2013.0,Jason Garrett,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Bill Callahan,Monte Kiffin
9,2012.0,Jason Garrett,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Bill Callahan,Rob Ryan
10,2011.0,Jason Garrett,16,8,8,0,0.5,0.0,0.0,0.0,N/A,N/A,Rob Ryan
11,2010.0,Jason Garrett,8,5,3,0,0.625,0.0,0.0,0.0,N/A,N/A,Paul Pasqualoni
12,N/A,Wade Phillips,8,1,7,0,0.125,0.0,0.0,0.0,N/A,Jason Garrett,Paul Pasqualoni
13,2009.0,Wade Phillips,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,Jason Garrett,N/A
14,2008.0,Wade Phillips,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Jason Garrett,Brian Stewart
15,2007.0,Wade Phillips,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Jason Garrett,Brian Stewart
16,2006.0,Bill Parcells,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,N/A,Mike Zimmer
17,2005.0,Bill Parcells,16,9,7,0,0.563,0.0,0.0,0.0,N/A,N/A,Mike Zimmer
18,2004.0,Bill Parcells,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Maurice Carthon,Mike Zimmer
19,2003.0,Bill Parcells,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Maurice Carthon,Mike Zimmer
20,2002.0,Dave Campo,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Bruce Coslet,Mike Zimmer
21,2001.0,Dave Campo,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Jack Reilly,Mike Zimmer
