,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Vic Fangio,17,7,10,0,0.412,N/A,N/A,N/A,N/A,Pat Shurmur,Ed Donatell
1,2020.0,Vic Fangio,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Pat Shurmur,Ed Donatell
2,2019.0,Vic Fangio,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Rich Scangarello,Ed Donatell
3,2018.0,Vance Joseph,16,6,10,0,0.375,N/A,N/A,N/A,N/A,Bill Musgrave,Joe Woods
4,2017.0,Vance Joseph,16,5,11,0,0.313,N/A,N/A,N/A,N/A,"Mike McCoy, Bill Musgrave",Joe Woods
5,2016.0,Gary Kubiak,16,9,7,0,0.563,N/A,N/A,N/A,N/A,Rick Dennison,Wade Phillips
6,2015.0,Gary Kubiak,16,12,4,0,0.75,3.0,3.0,0.0,Won SB,Rick Dennison,Wade Phillips
7,2014.0,John Fox,16,12,4,0,0.75,1.0,0.0,1.0,Lost Div,Adam Gase,Jack Del Rio
8,2013.0,John Fox,16,13,3,0,0.813,3.0,2.0,1.0,Lost SB,Adam Gase,Jack Del Rio
9,2012.0,John Fox,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Mike McCoy,Jack Del Rio
10,2011.0,John Fox,16,8,8,0,0.5,2.0,1.0,1.0,Lost Div,Mike McCoy,Dennis Allen
11,2010.0,Eric Studesville,4,1,3,0,0.25,0.0,0.0,0.0,N/A,Mike McCoy,Don Martindale
12,N/A,Josh McDaniels,12,3,9,0,0.25,0.0,0.0,0.0,N/A,Mike McCoy,Don Martindale
13,2009.0,Josh McDaniels,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Mike McCoy,Mike Nolan
14,2008.0,Mike Shanahan,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Rick Dennison,Bob Slowik
15,2007.0,Mike Shanahan,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Rick Dennison,Bob Slowik
16,2006.0,Mike Shanahan,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Rick Dennison,Larry Coyer
17,2005.0,Mike Shanahan,16,13,3,0,0.813,2.0,1.0,1.0,Lost Conf,Gary Kubiak,Larry Coyer
18,2004.0,Mike Shanahan,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Gary Kubiak,Larry Coyer
19,2003.0,Mike Shanahan,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Gary Kubiak,Larry Coyer
20,2002.0,Mike Shanahan,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Gary Kubiak,Ray Rhodes
21,2001.0,Mike Shanahan,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Gary Kubiak,Ray Rhodes
22,2000.0,Mike Shanahan,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Gary Kubiak,Greg Robinson
23,1999.0,Mike Shanahan,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Gary Kubiak,Greg Robinson
24,1998.0,Mike Shanahan,16,14,2,0,0.875,3.0,3.0,0.0,Won SB,Gary Kubiak,Greg Robinson
25,1997.0,Mike Shanahan,16,12,4,0,0.75,4.0,4.0,0.0,Won SB,Gary Kubiak,Greg Robinson
26,1996.0,Mike Shanahan,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Gary Kubiak,Greg Robinson
27,1995.0,Mike Shanahan,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Gary Kubiak,Greg Robinson
28,1994.0,Wade Phillips,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Jim Fassel,Charlie Waters
29,1993.0,Wade Phillips,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,Jim Fassel,Charlie Waters
30,1992.0,Dan Reeves,16,8,8,0,0.5,0.0,0.0,0.0,N/A,George Henshaw,Wade Phillips
31,1991.0,Dan Reeves,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Mike Shanahan,Wade Phillips
32,1990.0,Dan Reeves,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Chan Gailey,Wade Phillips
33,1989.0,Dan Reeves,16,11,5,0,0.688,3.0,2.0,1.0,Lost SB,Chan Gailey,Wade Phillips
34,1988.0,Dan Reeves,16,8,8,0,0.5,0.0,0.0,0.0,N/A,N/A,Joe Collier
35,1987.0,Dan Reeves,15,10,4,1,0.7,3.0,2.0,1.0,Lost SB,Mike Shanahan,Joe Collier
36,1986.0,Dan Reeves,16,11,5,0,0.688,3.0,2.0,1.0,Lost SB,Mike Shanahan,Joe Collier
37,1985.0,Dan Reeves,16,11,5,0,0.688,0.0,0.0,0.0,N/A,Mike Shanahan,Joe Collier
38,1984.0,Dan Reeves,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,N/A,Joe Collier
39,1983.0,Dan Reeves,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,John Hadl,Joe Collier
40,1982.0,Dan Reeves,9,2,7,0,0.222,0.0,0.0,0.0,N/A,Rod Dowhower,Joe Collier
41,1981.0,Dan Reeves,16,10,6,0,0.625,0.0,0.0,0.0,N/A,Rod Dowhower,Joe Collier
42,1980.0,Red Miller,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Rod Dowhower,Joe Collier
43,1979.0,Red Miller,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,N/A,Joe Collier
44,1978.0,Red Miller,16,10,6,0,0.625,1.0,0.0,1.0,Lost Div,N/A,Joe Collier
45,1977.0,Red Miller,14,12,2,0,0.857,3.0,2.0,1.0,Lost SB,N/A,Joe Collier
46,1976.0,John Ralston,14,9,5,0,0.643,0.0,0.0,0.0,N/A,Max Coley,Joe Collier
47,1975.0,John Ralston,14,6,8,0,0.429,0.0,0.0,0.0,N/A,Max Coley,Joe Collier
48,1974.0,John Ralston,14,7,6,1,0.536,0.0,0.0,0.0,N/A,Max Coley,Joe Collier
49,1973.0,John Ralston,14,7,5,2,0.571,0.0,0.0,0.0,N/A,Max Coley,Joe Collier
50,1972.0,John Ralston,14,5,9,0,0.357,0.0,0.0,0.0,N/A,Max Coley,Joe Collier
51,1971.0,Jerry Smith,5,2,3,0,0.4,0.0,0.0,0.0,N/A,N/A,N/A
52,N/A,Lou Saban,9,2,6,1,0.25,0.0,0.0,0.0,N/A,N/A,N/A
53,1970.0,Lou Saban,14,5,8,1,0.385,0.0,0.0,0.0,N/A,N/A,N/A
54,1969.0,Lou Saban,14,5,8,1,0.385,0.0,0.0,0.0,N/A,N/A,N/A
55,1968.0,Lou Saban,14,5,9,0,0.357,0.0,0.0,0.0,N/A,N/A,N/A
56,1967.0,Lou Saban,14,3,11,0,0.214,0.0,0.0,0.0,N/A,N/A,N/A
57,1966.0,Ray Malavasi,12,4,8,0,0.333,0.0,0.0,0.0,N/A,N/A,N/A
58,N/A,Mac Speedie,2,0,2,0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
59,1965.0,Mac Speedie,14,4,10,0,0.286,0.0,0.0,0.0,N/A,N/A,N/A
60,1964.0,Mac Speedie,10,2,7,1,0.222,0.0,0.0,0.0,N/A,N/A,N/A
61,N/A,Jack Faulkner,4,0,4,0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
62,1963.0,Jack Faulkner,14,2,11,1,0.154,0.0,0.0,0.0,N/A,N/A,N/A
63,1962.0,Jack Faulkner,14,7,7,0,0.5,0.0,0.0,0.0,N/A,N/A,N/A
64,1961.0,Frank Filchock,14,3,11,0,0.214,0.0,0.0,0.0,N/A,N/A,N/A
65,1960.0,Frank Filchock,14,4,9,1,0.308,0.0,0.0,0.0,N/A,N/A,N/A
