,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Matt LaFleur,17,13,4,0,0.765,1.0,0.0,1.0,Lost Div,Nathaniel Hackett,Joe Barry
1,2020.0,Matt LaFleur,16,13,3,0,0.813,2.0,1.0,1.0,Lost Conf,Nathaniel Hackett,Mike Pettine
2,2019.0,Matt LaFleur,16,13,3,0,0.813,2.0,1.0,1.0,Lost Conf,Nathaniel Hackett,Mike Pettine
3,2018.0,Joe Philbin,4,2,2,0,0.5,N/A,N/A,N/A,N/A,N/A,Mike Pettine
4,N/A,Mike McCarthy,12,4,7,1,0.375,N/A,N/A,N/A,N/A,Joe Philbin,Mike Pettine
5,2017.0,Mike McCarthy,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Edgar Bennett,Dom Capers
6,2016.0,Mike McCarthy,16,10,6,0,0.625,3.0,2.0,1.0,Lost Conf,Edgar Bennett,Dom Capers
7,2015.0,Mike McCarthy,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Edgar Bennett,Dom Capers
8,2014.0,Mike McCarthy,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Tom Clements,Dom Capers
9,2013.0,Mike McCarthy,16,8,7,1,0.531,1.0,0.0,1.0,Lost WC,Tom Clements,Dom Capers
10,2012.0,Mike McCarthy,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,Tom Clements,Dom Capers
11,2011.0,Mike McCarthy,16,15,1,0,0.938,1.0,0.0,1.0,Lost Div,Joe Philbin,Dom Capers
12,2010.0,Mike McCarthy,16,10,6,0,0.625,4.0,4.0,0.0,Won SB,Joe Philbin,Dom Capers
13,2009.0,Mike McCarthy,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Joe Philbin,Dom Capers
14,2008.0,Mike McCarthy,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Joe Philbin,Bob Sanders
15,2007.0,Mike McCarthy,16,13,3,0,0.813,2.0,1.0,1.0,Lost Conf,Joe Philbin,Bob Sanders
16,2006.0,Mike McCarthy,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Jeff Jagodzinski,Bob Sanders
17,2005.0,Mike Sherman,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Tom Rossley,Jim Bates
18,2004.0,Mike Sherman,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Tom Rossley,Bob Slowik
