,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Darrell Bevell,4,1,3,0,0.25,N/A,N/A,N/A,N/A,N/A,Joe Cullen
1,N/A,Urban Meyer,13,2,11,0,0.154,N/A,N/A,N/A,N/A,Darrell Bevell,Joe Cullen
2,2020.0,Doug Marrone,16,1,15,0,0.063,N/A,N/A,N/A,N/A,Jay Gruden,Todd Wash
3,2019.0,Doug Marrone,16,6,10,0,0.375,N/A,N/A,N/A,N/A,John DeFilippo,Todd Wash
4,2018.0,Doug Marrone,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Nathaniel Hackett,Todd Wash
5,2017.0,Doug Marrone,16,10,6,0,0.625,3.0,2.0,1.0,Lost Conf,Nathaniel Hackett,Todd Wash
6,2016.0,Doug Marrone,2,1,1,0,0.5,N/A,N/A,N/A,N/A,"Nathaniel Hackett, Greg Olson",Todd Wash
7,N/A,Gus Bradley,14,2,12,0,0.143,0.0,0.0,0.0,N/A,"Nathaniel Hackett, Greg Olson",Todd Wash
8,2015.0,Gus Bradley,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Greg Olson,Bob Babich
9,2014.0,Gus Bradley,16,3,13,0,0.188,0.0,0.0,0.0,N/A,Jedd Fisch,Bob Babich
10,2013.0,Gus Bradley,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Jedd Fisch,Bob Babich
11,2012.0,Mike Mularkey,16,2,14,0,0.125,0.0,0.0,0.0,N/A,Bob Bratkowski,Mel Tucker
12,2011.0,Mel Tucker,5,2,3,0,0.4,0.0,0.0,0.0,N/A,Dirk Koetter,N/A
13,N/A,Jack Del Rio,11,3,8,0,0.273,0.0,0.0,0.0,N/A,Dirk Koetter,Mel Tucker
14,2010.0,Jack Del Rio,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Dirk Koetter,Mel Tucker
15,2009.0,Jack Del Rio,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Dirk Koetter,Mel Tucker
16,2008.0,Jack Del Rio,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Dirk Koetter,Gregg Williams
17,2007.0,Jack Del Rio,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,Dirk Koetter,Mike Smith
18,2006.0,Jack Del Rio,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Carl Smith,Mike Smith
19,2005.0,Jack Del Rio,16,12,4,0,0.75,1.0,0.0,1.0,Lost WC,Carl Smith,Mike Smith
20,2004.0,Jack Del Rio,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Bill Musgrave,Mike Smith
21,2003.0,Jack Del Rio,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Bill Musgrave,Mike Smith
22,2002.0,Tom Coughlin,16,6,10,0,0.375,0.0,0.0,0.0,N/A,N/A,John Pease
23,2001.0,Tom Coughlin,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Bobby Petrino,Gary Moeller
24,2000.0,Tom Coughlin,16,7,9,0,0.438,0.0,0.0,0.0,N/A,N/A,Dom Capers
25,1999.0,Tom Coughlin,16,14,2,0,0.875,2.0,1.0,1.0,Lost Conf,N/A,Dom Capers
26,1998.0,Tom Coughlin,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,Chris Palmer,Dick Jauron
27,1997.0,Tom Coughlin,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Chris Palmer,Dick Jauron
28,1996.0,Tom Coughlin,16,9,7,0,0.563,3.0,2.0,1.0,Lost Conf,Kevin Gilbride,Dick Jauron
29,1995.0,Tom Coughlin,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Kevin Gilbride,Dick Jauron
