,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Rich Bisaccia,12,7,5,0,0.583,1.0,0.0,1.0,Lost WC,Greg Olson,Gus Bradley
1,N/A,Jon Gruden,5,3,2,0,0.6,1.0,0.0,1.0,Lost WC,Greg Olson,Gus Bradley
2,2020.0,Jon Gruden,16,8,8,0,0.5,N/A,N/A,N/A,N/A,Greg Olson,"Paul Guenther, Rod Marinelli"
3,2019.0,Jon Gruden,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Greg Olson,Paul Guenther
4,2018.0,Jon Gruden,16,4,12,0,0.25,N/A,N/A,N/A,N/A,Greg Olson,Paul Guenther
5,2017.0,Jack Del Rio,16,6,10,0,0.375,N/A,N/A,N/A,N/A,Todd Downing,"Ken Norton, John Pagano"
6,2016.0,Jack Del Rio,16,12,4,0,0.75,1.0,0.0,1.0,Lost WC,Bill Musgrave,Ken Norton
7,2015.0,Jack Del Rio,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Bill Musgrave,Ken Norton
8,2014.0,Tony Sparano,12,3,9,0,0.25,0.0,0.0,0.0,N/A,Greg Olson,Jason Tarver
9,N/A,Dennis Allen,4,0,4,0,0.0,0.0,0.0,0.0,N/A,Greg Olson,Jason Tarver
10,2013.0,Dennis Allen,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Greg Olson,Jason Tarver
11,2012.0,Dennis Allen,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Greg Knapp,Jason Tarver
12,2011.0,Hue Jackson,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Al Saunders,Chuck Bresnahan
13,2010.0,Tom Cable,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Hue Jackson,John Marshall
14,2009.0,Tom Cable,16,5,11,0,0.313,0.0,0.0,0.0,N/A,N/A,John Marshall
15,2008.0,Tom Cable,12,4,8,0,0.333,0.0,0.0,0.0,N/A,Greg Knapp,Rob Ryan
16,N/A,Lane Kiffin,4,1,3,0,0.25,0.0,0.0,0.0,N/A,Greg Knapp,Rob Ryan
17,2007.0,Lane Kiffin,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Greg Knapp,Rob Ryan
18,2006.0,Art Shell,16,2,14,0,0.125,0.0,0.0,0.0,N/A,"John Shoop, Tom Walsh",Rob Ryan
19,2005.0,Norv Turner,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Jimmy Raye,Rob Ryan
20,2004.0,Norv Turner,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Jimmy Raye,Rob Ryan
21,2003.0,Bill Callahan,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Marc Trestman,Chuck Bresnahan
22,2002.0,Bill Callahan,16,11,5,0,0.688,3.0,2.0,1.0,Lost SB,Marc Trestman,Chuck Bresnahan
23,2001.0,Jon Gruden,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Bill Callahan,Chuck Bresnahan
24,2000.0,Jon Gruden,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Bill Callahan,Chuck Bresnahan
25,1999.0,Jon Gruden,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Bill Callahan,Willie Shaw
26,1998.0,Jon Gruden,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Bill Callahan,Willie Shaw
27,1997.0,Joe Bugel,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Ray Perkins,Fred Whittingham
28,1996.0,Mike White,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Joe Bugel,Fred Whittingham
29,1995.0,Mike White,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Joe Bugel,John Fox
30,1994.0,Art Shell,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Tom Walsh,John Fox
31,1993.0,Art Shell,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Tom Walsh,Gunther Cunningham
32,1992.0,Art Shell,16,7,9,0,0.438,0.0,0.0,0.0,N/A,"Terry Robiskie, Tom Walsh",Gunther Cunningham
33,1991.0,Art Shell,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,Terry Robiskie,Dave Adolph
34,1990.0,Art Shell,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Terry Robiskie,Dave Adolph
35,1989.0,Art Shell,12,7,5,0,0.583,0.0,0.0,0.0,N/A,"Terry Robiskie, Tom Walsh",Dave Adolph
