,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Brandon Staley,17,9,8,0,0.529,N/A,N/A,N/A,N/A,Joe Lombardi,Renaldo Hill
1,2020.0,Anthony Lynn,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Shane Steichen,Gus Bradley
2,2019.0,Anthony Lynn,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Ken Whisenhunt,Gus Bradley
3,2018.0,Anthony Lynn,16,12,4,0,0.75,2.0,1.0,1.0,Lost Div,Ken Whisenhunt,Gus Bradley
4,2017.0,Anthony Lynn,16,9,7,0,0.563,N/A,N/A,N/A,N/A,Ken Whisenhunt,Gus Bradley
5,2016.0,Mike McCoy,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Ken Whisenhunt,John Pagano
6,2015.0,Mike McCoy,16,4,12,0,0.25,N/A,N/A,N/A,N/A,Frank Reich,John Pagano
7,2014.0,Mike McCoy,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Frank Reich,John Pagano
8,2013.0,Mike McCoy,16,9,7,0,0.563,2.0,1.0,1.0,Lost Div,Ken Whisenhunt,John Pagano
9,2012.0,Norv Turner,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Hal Hunter,John Pagano
10,2011.0,Norv Turner,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Clarence Shelmon,Greg Manusky
11,2010.0,Norv Turner,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Clarence Shelmon,Ron Rivera
12,2009.0,Norv Turner,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Clarence Shelmon,Ron Rivera
13,2008.0,Norv Turner,16,8,8,0,0.5,2.0,1.0,1.0,Lost Div,Clarence Shelmon,"Ted Cottrell, Ron Rivera"
14,2007.0,Norv Turner,16,11,5,0,0.688,3.0,2.0,1.0,Lost Conf,Clarence Shelmon,Ted Cottrell
15,2006.0,Marty Schottenheimer,16,14,2,0,0.875,1.0,0.0,1.0,Lost Div,Cam Cameron,Wade Phillips
16,2005.0,Marty Schottenheimer,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Cam Cameron,Wade Phillips
17,2004.0,Marty Schottenheimer,16,12,4,0,0.75,1.0,0.0,1.0,Lost WC,Cam Cameron,Wade Phillips
18,2003.0,Marty Schottenheimer,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Cam Cameron,Dale Lindsey
19,2002.0,Marty Schottenheimer,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Cam Cameron,Dale Lindsey
20,2001.0,Mike Riley,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Norv Turner,"Mark Banker, Joe Pascale, Jim Vechiarella"
21,2000.0,Mike Riley,16,1,15,0,0.063,0.0,0.0,0.0,N/A,Geep Chryst,Joe Pascale
22,1999.0,Mike Riley,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Geep Chryst,Joe Pascale
23,1998.0,June Jones,10,3,7,0,0.3,0.0,0.0,0.0,N/A,Mike Sheppard,Joe Pascale
24,N/A,Kevin Gilbride,6,2,4,0,0.333,0.0,0.0,0.0,N/A,Mike Sheppard,Joe Pascale
25,1997.0,Kevin Gilbride,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Mike Sheppard,Joe Pascale
26,1996.0,Bobby Ross,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Ralph Friedgen,Dave Adolph
27,1995.0,Bobby Ross,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,Ralph Friedgen,Dave Adolph
28,1994.0,Bobby Ross,16,11,5,0,0.688,3.0,2.0,1.0,Lost SB,Ralph Friedgen,Bill Arnsparger
29,1993.0,Bobby Ross,16,8,8,0,0.5,0.0,0.0,0.0,N/A,N/A,Bill Arnsparger
30,1992.0,Bobby Ross,16,11,5,0,0.688,2.0,1.0,1.0,Lost Div,N/A,Bill Arnsparger
31,1991.0,Dan Henning,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Ted Tollner,Ron Lynn
32,1990.0,Dan Henning,16,6,10,0,0.375,0.0,0.0,0.0,N/A,N/A,Ron Lynn
