,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Sean McVay,17,12,5,0,0.706,4.0,4.0,0.0,Won SB,Kevin O'Connell,Raheem Morris
1,2020.0,Sean McVay,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Kevin O'Connell,Brandon Staley
2,2019.0,Sean McVay,16,9,7,0,0.563,N/A,N/A,N/A,N/A,N/A,Wade Phillips
3,2018.0,Sean McVay,16,13,3,0,0.813,3.0,2.0,1.0,Lost SB,N/A,Wade Phillips
4,2017.0,Sean McVay,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Matt LaFleur,Wade Phillips
5,2016.0,John Fassel,3,0,3,0,0.0,N/A,N/A,N/A,N/A,Rob Boras,Gregg Williams
6,N/A,Jeff Fisher,13,4,9,0,0.308,0.0,0.0,0.0,N/A,Rob Boras,Gregg Williams
7,2015.0,Jeff Fisher,16,7,9,0,0.438,N/A,N/A,N/A,N/A,"Rob Boras, Frank Cignetti",Gregg Williams
8,2014.0,Jeff Fisher,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Brian Schottenheimer,Gregg Williams
9,2013.0,Jeff Fisher,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Brian Schottenheimer,Tim Walton
10,2012.0,Jeff Fisher,16,7,8,1,0.469,0.0,0.0,0.0,N/A,Brian Schottenheimer,N/A
11,2011.0,Steve Spagnuolo,16,2,14,0,0.125,0.0,0.0,0.0,N/A,Josh McDaniels,Ken Flajole
12,2010.0,Steve Spagnuolo,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Pat Shurmur,Ken Flajole
13,2009.0,Steve Spagnuolo,16,1,15,0,0.063,0.0,0.0,0.0,N/A,Pat Shurmur,Ken Flajole
14,2008.0,Jim Haslett,12,2,10,0,0.167,0.0,0.0,0.0,N/A,Al Saunders,Rick Venturi
15,N/A,Scott Linehan,4,0,4,0,0.0,0.0,0.0,0.0,N/A,Al Saunders,"Jim Haslett, Rick Venturi"
16,2007.0,Scott Linehan,16,3,13,0,0.188,0.0,0.0,0.0,N/A,Greg Olson,Jim Haslett
17,2006.0,Scott Linehan,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Greg Olson,Jim Haslett
18,2005.0,Joe Vitt,11,4,7,0,0.364,0.0,0.0,0.0,N/A,Steve Fairchild,Larry Marmie
19,N/A,Mike Martz,5,2,3,0,0.4,0.0,0.0,0.0,N/A,Steve Fairchild,Larry Marmie
20,2004.0,Mike Martz,16,8,8,0,0.5,2.0,1.0,1.0,Lost Div,Steve Fairchild,Larry Marmie
21,2003.0,Mike Martz,16,12,4,0,0.75,1.0,0.0,1.0,Lost Div,Steve Fairchild,Lovie Smith
22,2002.0,Mike Martz,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Bobby Jackson,Lovie Smith
23,2001.0,Mike Martz,16,14,2,0,0.875,3.0,2.0,1.0,Lost SB,Bobby Jackson,Lovie Smith
24,2000.0,Mike Martz,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Bobby Jackson,Peter Giunta
25,1999.0,Dick Vermeil,16,13,3,0,0.813,3.0,3.0,0.0,Won SB,Mike Martz,Peter Giunta
26,1998.0,Dick Vermeil,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Jerry Rhome,Peter Giunta
