,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Brian Flores,17,9,8,0,0.529,N/A,N/A,N/A,N/A,"George Godsey, Eric Studesville",Josh Boyer
1,2020.0,Brian Flores,16,10,6,0,0.625,N/A,N/A,N/A,N/A,Chan Gailey,Josh Boyer
2,2019.0,Brian Flores,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Chad O'Shea,Patrick Graham
3,2018.0,Adam Gase,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Dowell Loggains,Matt Burke
4,2017.0,Adam Gase,16,6,10,0,0.375,N/A,N/A,N/A,N/A,Clyde Christensen,Matt Burke
5,2016.0,Adam Gase,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Clyde Christensen,Vance Joseph
6,2015.0,Dan Campbell,12,5,7,0,0.417,N/A,N/A,N/A,N/A,"Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle"
7,N/A,Joe Philbin,4,1,3,0,0.25,0.0,0.0,0.0,N/A,"Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle"
8,2014.0,Joe Philbin,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Bill Lazor,Kevin Coyle
9,2013.0,Joe Philbin,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Mike Sherman,Kevin Coyle
10,2012.0,Joe Philbin,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Mike Sherman,Kevin Coyle
11,2011.0,Todd Bowles,3,2,1,0,0.667,0.0,0.0,0.0,N/A,Brian Daboll,Mike Nolan
12,N/A,Tony Sparano,13,4,9,0,0.308,0.0,0.0,0.0,N/A,Brian Daboll,Mike Nolan
13,2010.0,Tony Sparano,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Dan Henning,Mike Nolan
14,2009.0,Tony Sparano,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Dan Henning,Paul Pasqualoni
15,2008.0,Tony Sparano,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Dan Henning,Paul Pasqualoni
16,2007.0,Cam Cameron,16,1,15,0,0.063,0.0,0.0,0.0,N/A,N/A,Dom Capers
