,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Robert Saleh,17,4,13,0,0.235,N/A,N/A,N/A,N/A,Mike LaFleur,Jeff Ulbrich
1,2020.0,Adam Gase,16,2,14,0,0.125,N/A,N/A,N/A,N/A,Dowell Loggains,"Frank Bush, Gregg Williams"
2,2019.0,Adam Gase,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Dowell Loggains,Gregg Williams
3,2018.0,Todd Bowles,16,4,12,0,0.25,N/A,N/A,N/A,N/A,Jeremy Bates,Kacy Rodgers
4,2017.0,Todd Bowles,16,5,11,0,0.313,N/A,N/A,N/A,N/A,John Morton,Kacy Rodgers
5,2016.0,Todd Bowles,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Chan Gailey,Kacy Rodgers
6,2015.0,Todd Bowles,16,10,6,0,0.625,N/A,N/A,N/A,N/A,Chan Gailey,Kacy Rodgers
7,2014.0,Rex Ryan,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Marty Mornhinweg,Dennis Thurman
8,2013.0,Rex Ryan,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Marty Mornhinweg,Dennis Thurman
9,2012.0,Rex Ryan,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Tony Sparano,Mike Pettine
10,2011.0,Rex Ryan,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Brian Schottenheimer,Mike Pettine
11,2010.0,Rex Ryan,16,11,5,0,0.688,3.0,2.0,1.0,Lost Conf,Brian Schottenheimer,Mike Pettine
12,2009.0,Rex Ryan,16,9,7,0,0.563,3.0,2.0,1.0,Lost Conf,Brian Schottenheimer,Mike Pettine
13,2008.0,Eric Mangini,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Brian Schottenheimer,Bob Sutton
14,2007.0,Eric Mangini,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Brian Schottenheimer,Bob Sutton
15,2006.0,Eric Mangini,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Brian Schottenheimer,Bob Sutton
16,2005.0,Herm Edwards,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Mike Heimerdinger,Donnie Henderson
17,2004.0,Herm Edwards,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Paul Hackett,Donnie Henderson
