,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Nick Sirianni,17,9,8,0,0.529,1.0,0.0,1.0,Lost WC,Shane Steichen,Jonathan Gannon
1,2020.0,Doug Pederson,16,4,11,1,0.281,N/A,N/A,N/A,N/A,N/A,Jim Schwartz
2,2019.0,Doug Pederson,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,Mike Groh,Jim Schwartz
3,2018.0,Doug Pederson,16,9,7,0,0.563,2.0,1.0,1.0,Lost Div,Mike Groh,Jim Schwartz
4,2017.0,Doug Pederson,16,13,3,0,0.813,3.0,3.0,0.0,Won SB,Frank Reich,Jim Schwartz
5,2016.0,Doug Pederson,16,7,9,0,0.438,N/A,N/A,N/A,N/A,Frank Reich,Jim Schwartz
6,2015.0,Pat Shurmur,1,1,0,0,1.0,N/A,N/A,N/A,N/A,N/A,Bill Davis
7,N/A,Chip Kelly,15,6,9,0,0.4,0.0,0.0,0.0,N/A,Pat Shurmur,Bill Davis
8,2014.0,Chip Kelly,16,10,6,0,0.625,0.0,0.0,0.0,N/A,Pat Shurmur,Bill Davis
9,2013.0,Chip Kelly,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Pat Shurmur,Bill Davis
10,2012.0,Andy Reid,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Marty Mornhinweg,"Todd Bowles, Juan Castillo"
11,2011.0,Andy Reid,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Marty Mornhinweg,Juan Castillo
12,2010.0,Andy Reid,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Marty Mornhinweg,Sean McDermott
13,2009.0,Andy Reid,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Marty Mornhinweg,Sean McDermott
14,2008.0,Andy Reid,16,9,6,1,0.594,3.0,2.0,1.0,Lost Conf,Marty Mornhinweg,Jim Johnson
15,2007.0,Andy Reid,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Marty Mornhinweg,Jim Johnson
16,2006.0,Andy Reid,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Marty Mornhinweg,Jim Johnson
17,2005.0,Andy Reid,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Brad Childress,Jim Johnson
18,2004.0,Andy Reid,16,13,3,0,0.813,3.0,2.0,1.0,Lost SB,Brad Childress,Jim Johnson
19,2003.0,Andy Reid,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Brad Childress,Jim Johnson
