,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Mike Tomlin,17,9,7,1,0.559,1.0,0.0,1.0,Lost WC,Matt Canada,Keith Butler
1,2020.0,Mike Tomlin,16,12,4,0,0.75,1.0,0.0,1.0,Lost WC,Randy Fichtner,Keith Butler
2,2019.0,Mike Tomlin,16,8,8,0,0.5,N/A,N/A,N/A,N/A,Randy Fichtner,Keith Butler
3,2018.0,Mike Tomlin,16,9,6,1,0.594,N/A,N/A,N/A,N/A,Randy Fichtner,Keith Butler
4,2017.0,Mike Tomlin,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Todd Haley,Keith Butler
5,2016.0,Mike Tomlin,16,11,5,0,0.688,3.0,2.0,1.0,Lost Conf,Todd Haley,Keith Butler
6,2015.0,Mike Tomlin,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Todd Haley,Keith Butler
7,2014.0,Mike Tomlin,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Todd Haley,Dick LeBeau
8,2013.0,Mike Tomlin,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Todd Haley,Dick LeBeau
9,2012.0,Mike Tomlin,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Todd Haley,Dick LeBeau
10,2011.0,Mike Tomlin,16,12,4,0,0.75,1.0,0.0,1.0,Lost WC,Bruce Arians,Dick LeBeau
11,2010.0,Mike Tomlin,16,12,4,0,0.75,3.0,2.0,1.0,Lost SB,Bruce Arians,Dick LeBeau
12,2009.0,Mike Tomlin,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Bruce Arians,Dick LeBeau
13,2008.0,Mike Tomlin,16,12,4,0,0.75,3.0,3.0,0.0,Won SB,Bruce Arians,Dick LeBeau
14,2007.0,Mike Tomlin,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Bruce Arians,Dick LeBeau
15,2006.0,Bill Cowher,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Ken Whisenhunt,Dick LeBeau
16,2005.0,Bill Cowher,16,11,5,0,0.688,4.0,4.0,0.0,Won SB,Ken Whisenhunt,Dick LeBeau
17,2004.0,Bill Cowher,16,15,1,0,0.938,2.0,1.0,1.0,Lost Conf,Ken Whisenhunt,Dick LeBeau
18,2003.0,Bill Cowher,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Mike Mularkey,Tim Lewis
19,2002.0,Bill Cowher,16,10,5,1,0.656,2.0,1.0,1.0,Lost Div,Mike Mularkey,Tim Lewis
20,2001.0,Bill Cowher,16,13,3,0,0.813,2.0,1.0,1.0,Lost Conf,Mike Mularkey,Tim Lewis
21,2000.0,Bill Cowher,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Kevin Gilbride,Tim Lewis
22,1999.0,Bill Cowher,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Kevin Gilbride,Jim Haslett
23,1998.0,Bill Cowher,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Ray Sherman,Jim Haslett
24,1997.0,Bill Cowher,16,11,5,0,0.688,2.0,1.0,1.0,Lost Conf,Chan Gailey,Jim Haslett
25,1996.0,Bill Cowher,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Chan Gailey,Dick LeBeau
26,1995.0,Bill Cowher,16,11,5,0,0.688,3.0,2.0,1.0,Lost SB,Ron Erhardt,Dick LeBeau
27,1994.0,Bill Cowher,16,12,4,0,0.75,2.0,1.0,1.0,Lost Conf,Ron Erhardt,Dom Capers
28,1993.0,Bill Cowher,16,9,7,0,0.563,1.0,0.0,1.0,Lost WC,Ron Erhardt,Dom Capers
29,1992.0,Bill Cowher,16,11,5,0,0.688,1.0,0.0,1.0,Lost Div,Ron Erhardt,Dom Capers
30,1991.0,Chuck Noll,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Joe Walton,Dave Brazil
31,1990.0,Chuck Noll,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Joe Walton,Dave Brazil
32,1989.0,Chuck Noll,16,9,7,0,0.563,2.0,1.0,1.0,Lost Div,Tom Moore,Rod Rust
33,1988.0,Chuck Noll,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Tom Moore,Tony Dungy
34,1987.0,Chuck Noll,15,8,7,0,0.533,0.0,0.0,0.0,N/A,Tom Moore,Tony Dungy
35,1986.0,Chuck Noll,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Tom Moore,Tony Dungy
36,1985.0,Chuck Noll,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Tom Moore,Tony Dungy
37,1984.0,Chuck Noll,16,9,7,0,0.563,2.0,1.0,1.0,Lost Conf,Tom Moore,Tony Dungy
38,1983.0,Chuck Noll,16,10,6,0,0.625,1.0,0.0,1.0,Lost Div,Tom Moore,Woody Widenhofer
39,1982.0,Chuck Noll,9,6,3,0,0.667,1.0,0.0,1.0,Lost WC,N/A,Woody Widenhofer
40,1981.0,Chuck Noll,16,8,8,0,0.5,0.0,0.0,0.0,N/A,N/A,Woody Widenhofer
41,1980.0,Chuck Noll,16,9,7,0,0.563,0.0,0.0,0.0,N/A,N/A,Woody Widenhofer
42,1979.0,Chuck Noll,16,12,4,0,0.75,3.0,3.0,0.0,Won SB,N/A,Woody Widenhofer
43,1978.0,Chuck Noll,16,14,2,0,0.875,3.0,3.0,0.0,Won SB,N/A,George Perles
44,1977.0,Chuck Noll,14,9,5,0,0.643,1.0,0.0,1.0,Lost Div,N/A,Bud Carson
