,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Kyle Shanahan,17,10,7,0,0.588,3.0,2.0,1.0,Lost Conf,Mike McDaniel,DeMeco Ryans
1,2020.0,Kyle Shanahan,16,6,10,0,0.375,N/A,N/A,N/A,N/A,N/A,Robert Saleh
2,2019.0,Kyle Shanahan,16,13,3,0,0.813,3.0,2.0,1.0,Lost SB,N/A,Robert Saleh
3,2018.0,Kyle Shanahan,16,4,12,0,0.25,N/A,N/A,N/A,N/A,N/A,Robert Saleh
4,2017.0,Kyle Shanahan,16,6,10,0,0.375,N/A,N/A,N/A,N/A,N/A,Robert Saleh
5,2016.0,Chip Kelly,16,2,14,0,0.125,N/A,N/A,N/A,N/A,Curtis Modkins,Jim O'Neil
6,2015.0,Jim Tomsula,16,5,11,0,0.313,N/A,N/A,N/A,N/A,Geep Chryst,Eric Mangini
7,2014.0,Jim Harbaugh,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Greg Roman,Vic Fangio
8,2013.0,Jim Harbaugh,16,12,4,0,0.75,3.0,2.0,1.0,Lost Conf,Greg Roman,Vic Fangio
9,2012.0,Jim Harbaugh,16,11,4,1,0.719,3.0,2.0,1.0,Lost SB,Greg Roman,Vic Fangio
10,2011.0,Jim Harbaugh,16,13,3,0,0.813,2.0,1.0,1.0,Lost Conf,Greg Roman,Vic Fangio
11,2010.0,Jim Tomsula,1,1,0,0,1.0,0.0,0.0,0.0,N/A,Jimmy Raye,Greg Manusky
12,N/A,Mike Singletary,15,5,10,0,0.333,0.0,0.0,0.0,N/A,Jimmy Raye,Greg Manusky
13,2009.0,Mike Singletary,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Jimmy Raye,Greg Manusky
14,2008.0,Mike Singletary,9,5,4,0,0.556,0.0,0.0,0.0,N/A,Mike Martz,Greg Manusky
15,N/A,Mike Nolan,7,2,5,0,0.286,0.0,0.0,0.0,N/A,Mike Martz,Greg Manusky
16,2007.0,Mike Nolan,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Jim Hostler,Greg Manusky
17,2006.0,Mike Nolan,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Norv Turner,Bill Davis
18,2005.0,Mike Nolan,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Mike McCarthy,Bill Davis
19,2004.0,Dennis Erickson,16,2,14,0,0.125,0.0,0.0,0.0,N/A,Ted Tollner,Willy Robinson
20,2003.0,Dennis Erickson,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Greg Knapp,Jim Mora
21,2002.0,Steve Mariucci,16,10,6,0,0.625,2.0,1.0,1.0,Lost Div,Greg Knapp,Jim Mora
22,2001.0,Steve Mariucci,16,12,4,0,0.75,1.0,0.0,1.0,Lost WC,Greg Knapp,Jim Mora
23,2000.0,Steve Mariucci,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Marty Mornhinweg,Jim Mora
24,1999.0,Steve Mariucci,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Marty Mornhinweg,Jim Mora
25,1998.0,Steve Mariucci,16,12,4,0,0.75,2.0,1.0,1.0,Lost Div,Marty Mornhinweg,John Marshall
26,1997.0,Steve Mariucci,16,13,3,0,0.813,2.0,1.0,1.0,Lost Conf,Marty Mornhinweg,John Marshall
27,1996.0,George Seifert,16,12,4,0,0.75,2.0,1.0,1.0,Lost Div,Marc Trestman,Pete Carroll
28,1995.0,George Seifert,16,11,5,0,0.688,1.0,0.0,1.0,Lost Div,Marc Trestman,Pete Carroll
29,1994.0,George Seifert,16,13,3,0,0.813,3.0,3.0,0.0,Won SB,Mike Shanahan,Ray Rhodes
30,1993.0,George Seifert,16,10,6,0,0.625,2.0,1.0,1.0,Lost Conf,Mike Shanahan,Bill McPherson
31,1992.0,George Seifert,16,14,2,0,0.875,2.0,1.0,1.0,Lost Conf,Mike Shanahan,Bill McPherson
32,1991.0,George Seifert,16,10,6,0,0.625,0.0,0.0,0.0,N/A,Mike Holmgren,Bill McPherson
33,1990.0,George Seifert,16,14,2,0,0.875,2.0,1.0,1.0,Lost Conf,Mike Holmgren,Bill McPherson
34,1989.0,George Seifert,16,14,2,0,0.875,3.0,3.0,0.0,Won SB,Mike Holmgren,Bill McPherson
35,1988.0,Bill Walsh,16,10,6,0,0.625,3.0,3.0,0.0,Won SB,N/A,George Seifert
36,1987.0,Bill Walsh,15,13,2,0,0.867,1.0,0.0,1.0,Lost Div,N/A,George Seifert
37,1986.0,Bill Walsh,16,10,5,1,0.656,1.0,0.0,1.0,Lost Div,N/A,George Seifert
38,1985.0,Bill Walsh,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,N/A,George Seifert
39,1984.0,Bill Walsh,16,15,1,0,0.938,3.0,3.0,0.0,Won SB,N/A,George Seifert
40,1983.0,Bill Walsh,16,10,6,0,0.625,2.0,1.0,1.0,Lost Conf,N/A,George Seifert
41,1982.0,Bill Walsh,9,3,6,0,0.333,0.0,0.0,0.0,N/A,N/A,Chuck Studley
42,1981.0,Bill Walsh,16,13,3,0,0.813,3.0,3.0,0.0,Won SB,N/A,Chuck Studley
43,1980.0,Bill Walsh,16,6,10,0,0.375,0.0,0.0,0.0,N/A,N/A,Chuck Studley
44,1979.0,Bill Walsh,16,2,14,0,0.125,0.0,0.0,0.0,N/A,N/A,Chuck Studley
45,1978.0,Fred O'Connor,7,1,6,0,0.143,0.0,0.0,0.0,N/A,N/A,Dan Radakovich
46,N/A,Pete McCulley,9,1,8,0,0.111,0.0,0.0,0.0,N/A,Fred O'Connor,Dan Radakovich
47,1977.0,Ken Meyer,14,5,9,0,0.357,0.0,0.0,0.0,N/A,N/A,N/A
48,1976.0,Monte Clark,14,8,6,0,0.571,0.0,0.0,0.0,N/A,N/A,N/A
49,1975.0,Dick Nolan,14,5,9,0,0.357,0.0,0.0,0.0,N/A,Dick Stanfel,N/A
50,1974.0,Dick Nolan,14,6,8,0,0.429,0.0,0.0,0.0,N/A,Dick Stanfel,Paul Wiggin
