,year,coach,regular_season_games,wins,losses,ties,win_percentage,playoff_games,playoff_wins,playoff_losses,playoff_result,coordinator_offense,coordinator_defense
0,2021.0,Mike Vrabel,17,12,5,0,0.706,1.0,0.0,1.0,Lost Div,Todd Downing,Shane Bowen
1,2020.0,Mike Vrabel,16,11,5,0,0.688,1.0,0.0,1.0,Lost WC,Arthur Smith,N/A
2,2019.0,Mike Vrabel,16,9,7,0,0.563,3.0,2.0,1.0,Lost Conf,Arthur Smith,Dean Pees
3,2018.0,Mike Vrabel,16,9,7,0,0.563,N/A,N/A,N/A,N/A,Matt LaFleur,Dean Pees
4,2017.0,Mike Mularkey,16,9,7,0,0.563,2.0,1.0,1.0,Lost Div,Terry Robiskie,Dick LeBeau
5,2016.0,Mike Mularkey,16,9,7,0,0.563,N/A,N/A,N/A,N/A,Terry Robiskie,Dick LeBeau
6,2015.0,Mike Mularkey,9,2,7,0,0.222,N/A,N/A,N/A,N/A,Jason Michael,Ray Horton
7,N/A,Ken Whisenhunt,7,1,6,0,0.143,0.0,0.0,0.0,N/A,Jason Michael,Ray Horton
8,2014.0,Ken Whisenhunt,16,2,14,0,0.125,0.0,0.0,0.0,N/A,Jason Michael,Ray Horton
9,2013.0,Mike Munchak,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Dowell Loggains,Jerry Gray
10,2012.0,Mike Munchak,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Chris Palmer,Jerry Gray
11,2011.0,Mike Munchak,16,9,7,0,0.563,0.0,0.0,0.0,N/A,Chris Palmer,Jerry Gray
12,2010.0,Jeff Fisher,16,6,10,0,0.375,0.0,0.0,0.0,N/A,Mike Heimerdinger,Chuck Cecil
13,2009.0,Jeff Fisher,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Mike Heimerdinger,Chuck Cecil
14,2008.0,Jeff Fisher,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Mike Heimerdinger,Jim Schwartz
15,2007.0,Jeff Fisher,16,10,6,0,0.625,1.0,0.0,1.0,Lost WC,Norm Chow,Jim Schwartz
16,2006.0,Jeff Fisher,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Norm Chow,Jim Schwartz
17,2005.0,Jeff Fisher,16,4,12,0,0.25,0.0,0.0,0.0,N/A,Norm Chow,Jim Schwartz
18,2004.0,Jeff Fisher,16,5,11,0,0.313,0.0,0.0,0.0,N/A,Mike Heimerdinger,Jim Schwartz
19,2003.0,Jeff Fisher,16,12,4,0,0.75,2.0,1.0,1.0,Lost Div,Mike Heimerdinger,Jim Schwartz
20,2002.0,Jeff Fisher,16,11,5,0,0.688,2.0,1.0,1.0,Lost Conf,Mike Heimerdinger,Jim Schwartz
21,2001.0,Jeff Fisher,16,7,9,0,0.438,0.0,0.0,0.0,N/A,Mike Heimerdinger,Jim Schwartz
22,2000.0,Jeff Fisher,16,13,3,0,0.813,1.0,0.0,1.0,Lost Div,Mike Heimerdinger,Gregg Williams
23,1999.0,Jeff Fisher,16,13,3,0,0.813,4.0,3.0,1.0,Lost SB,Les Steckel,Gregg Williams
24,1998.0,Jeff Fisher,16,8,8,0,0.5,0.0,0.0,0.0,N/A,Les Steckel,Gregg Williams
